"","MSZoning","LotArea","Street","LotShape","Condition1","Condition2","OverallQual","OverallCond","RoofMatl","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","HeatingQC","stFlrS1","stFlrS2","GarageCars","GarageQual","GarageCond","WoodDeckSF","ScreenPorch","PoolArea","Fence","SaleCondition","SalePrice"
"1",1,8450,1,1,1,1,7,5,1,1,196,0,1,1,706,0,150,1,856,854,2,0,0,0,0,0,0,0,"more than 200,000"
"2",1,9600,1,1,0,1,6,8,1,0,0,1,1,0,978,0,284,1,1262,0,2,0,0,298,0,0,0,0,"150,000 to 200,000"
"3",1,11250,1,0,1,1,7,5,1,1,162,0,1,1,486,0,434,1,920,866,2,0,0,0,0,0,0,0,"more than 200,000"
"4",1,9550,1,0,1,1,7,5,1,0,0,1,1,0,216,0,540,0,961,756,3,0,0,0,0,0,0,1,"100,000 to 150,000"
"5",1,14260,1,0,1,1,8,5,1,1,350,0,1,1,655,0,490,1,1145,1053,3,0,0,192,0,0,0,0,"more than 200,000"
"6",1,14115,1,0,1,1,5,5,1,0,0,1,1,0,732,0,64,1,796,566,2,0,0,40,0,0,1,0,"100,000 to 150,000"
"7",1,10084,1,1,1,1,8,5,1,1,186,0,1,1,1369,0,317,1,1694,0,2,0,0,255,0,0,0,0,"more than 200,000"
"8",1,10382,1,0,0,0,7,6,1,1,240,1,1,0,859,32,216,1,1107,983,2,0,0,235,0,0,0,0,"more than 200,000"
"9",0,6120,1,1,0,1,7,5,1,0,0,1,1,0,0,0,952,0,1022,752,2,0,0,90,0,0,0,1,"100,000 to 150,000"
"10",1,7420,1,1,0,0,5,6,1,0,0,1,1,0,851,0,140,1,1077,0,1,0,0,0,0,0,0,0,"100,000 to 150,000"
"11",1,11200,1,1,1,1,5,5,1,0,0,1,1,0,906,0,134,1,1040,0,1,0,0,0,0,0,0,0,"100,000 to 150,000"
"12",1,11924,1,0,1,1,9,5,1,1,286,0,1,1,998,0,177,1,1182,1142,3,0,0,147,0,0,0,1,"more than 200,000"
"13",1,12968,1,0,1,1,5,6,1,0,0,1,1,0,737,0,175,0,912,0,1,0,0,140,176,0,0,0,"100,000 to 150,000"
"14",1,10652,1,0,1,1,7,5,1,1,306,0,1,1,0,0,1494,1,1494,0,3,0,0,160,0,0,0,1,"more than 200,000"
"15",1,10920,1,0,1,1,6,5,1,1,212,1,1,0,733,0,520,0,1253,0,1,0,0,0,0,0,1,0,"150,000 to 200,000"
"16",0,6120,1,1,1,1,7,8,1,0,0,1,1,0,0,0,832,1,854,0,2,0,0,48,0,0,1,0,"100,000 to 150,000"
"17",1,11241,1,0,1,1,6,7,1,1,180,1,1,0,578,0,426,1,1004,0,2,0,0,0,0,0,0,0,"100,000 to 150,000"
"18",1,13695,1,1,0,1,5,5,1,0,0,1,1,1,646,0,468,1,1114,0,2,0,0,0,0,0,0,0,"150,000 to 200,000"
"19",1,7560,1,1,1,1,5,6,1,0,0,1,1,0,504,0,525,0,1339,0,1,0,0,0,0,0,1,1,"100,000 to 150,000"
"20",1,14215,1,0,1,1,8,5,1,1,380,0,1,1,0,0,1158,1,1158,1218,3,0,0,240,0,0,0,1,"more than 200,000"
"21",0,7449,1,1,1,1,7,7,1,0,0,1,1,1,0,0,637,1,1108,0,1,0,0,0,0,0,1,0,"100,000 to 150,000"
"22",1,9742,1,1,1,1,8,5,1,1,281,0,1,1,0,0,1777,1,1795,0,2,0,0,171,0,0,0,0,"more than 200,000"
