"","MSZoning","LotArea","Street","LotShape","Condition1","Condition2","OverallQual","OverallCond","RoofMatl","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","HeatingQC","stFlrS1","stFlrS2","GarageCars","GarageQual","GarageCond","WoodDeckSF","ScreenPorch","PoolArea","Fence","SaleCondition","SalePrice"
"1","RL",8450,"Pave","Reg","Norm","Norm",7,5,"CompShg","BrkFace",196,"Gd","TA","PConc",706,0,150,"Ex",856,854,2,"TA","TA",0,0,0,"None","Normal",12.247694320221
"2","RL",9600,"Pave","Reg","Feedr","Norm",6,8,"CompShg","None",0,"TA","TA","Others",978,0,284,"Ex",1262,0,2,"TA","TA",298,0,0,"None","Normal",12.109010932687
"3","RL",11250,"Pave","IR1","Norm","Norm",7,5,"CompShg","BrkFace",162,"Gd","TA","PConc",486,0,434,"Ex",920,866,2,"TA","TA",0,0,0,"None","Normal",12.3171666930358
"4","RL",9550,"Pave","IR1","Norm","Norm",7,5,"CompShg","None",0,"TA","TA","Others",216,0,540,"Gd",961,756,3,"TA","TA",0,0,0,"None","Abnorml",11.8493977015914
"5","RL",14260,"Pave","IR1","Norm","Norm",8,5,"CompShg","BrkFace",350,"Gd","TA","PConc",655,0,490,"Ex",1145,1053,3,"TA","TA",192,0,0,"None","Normal",12.4292161968444
"6","RL",14115,"Pave","IR1","Norm","Norm",5,5,"CompShg","None",0,"TA","TA","Others",732,0,64,"Ex",796,566,2,"TA","TA",40,0,0,"MnPrv","Normal",11.870599909242
"7","RL",10084,"Pave","Reg","Norm","Norm",8,5,"CompShg","Stone",186,"Gd","TA","PConc",1369,0,317,"Ex",1694,0,2,"TA","TA",255,0,0,"None","Normal",12.6346030265693
"8","RL",10382,"Pave","IR1","Pos","Pos",7,6,"CompShg","Stone",240,"TA","TA","Others",859,32,216,"Ex",1107,983,2,"TA","TA",235,0,0,"None","Normal",12.2060726455302
"9","RM",6120,"Pave","Reg","Artery","Norm",7,5,"CompShg","None",0,"TA","TA","Others",0,0,952,"Gd",1022,752,2,"Fa","TA",90,0,0,"None","Abnorml",11.7745202026587
"10","RL",7420,"Pave","Reg","Artery","Artery",5,6,"CompShg","None",0,"TA","TA","Others",851,0,140,"Ex",1077,0,1,"Gd","TA",0,0,0,"None","Normal",11.6784399034478
"11","RL",11200,"Pave","Reg","Norm","Norm",5,5,"CompShg","None",0,"TA","TA","Others",906,0,134,"Ex",1040,0,1,"TA","TA",0,0,0,"None","Normal",11.7714361601217
"12","RL",11924,"Pave","IR1","Norm","Norm",9,5,"CompShg","Stone",286,"Ex","TA","PConc",998,0,177,"Ex",1182,1142,3,"TA","TA",147,0,0,"None","Partial",12.7512996960135
"13","RL",12968,"Pave","IR2","Norm","Norm",5,6,"CompShg","None",0,"TA","TA","Others",737,0,175,"TA",912,0,1,"TA","TA",140,176,0,"None","Normal",11.8775685785581
"14","RL",10652,"Pave","IR1","Norm","Norm",7,5,"CompShg","Stone",306,"Gd","TA","PConc",0,0,1494,"Ex",1494,0,3,"TA","TA",160,0,0,"None","Partial",12.5407575715773
"15","RL",10920,"Pave","IR1","Norm","Norm",6,5,"CompShg","BrkFace",212,"TA","TA","Others",733,0,520,"TA",1253,0,1,"TA","TA",0,0,0,"GdWo","Normal",11.9640010843304
"16","RM",6120,"Pave","Reg","Norm","Norm",7,8,"CompShg","None",0,"TA","TA","Others",0,0,832,"Ex",854,0,2,"TA","TA",48,0,0,"GdPrv","Normal",11.7905572015685
"17","RL",11241,"Pave","IR1","Norm","Norm",6,7,"CompShg","BrkFace",180,"TA","TA","Others",578,0,426,"Ex",1004,0,2,"TA","TA",0,0,0,"None","Normal",11.9117015849276
"18","RL",13695,"Pave","Reg","RR","Norm",5,5,"CompShg","None",0,"TA","TA","PConc",646,0,468,"Ex",1114,0,2,"TA","TA",0,0,0,"None","Normal",11.9766594812024
"19","RL",7560,"Pave","Reg","Norm","Norm",5,6,"CompShg","None",0,"TA","TA","Others",504,0,525,"TA",1339,0,1,"TA","TA",0,0,0,"MnPrv","Abnorml",11.8422292121128
"20","RL",14215,"Pave","IR1","Norm","Norm",8,5,"CompShg","BrkFace",380,"Gd","TA","PConc",0,0,1158,"Ex",1158,1218,3,"TA","TA",240,0,0,"None","Partial",12.6925031124614
"21","RM",7449,"Pave","Reg","Norm","Norm",7,7,"CompShg","None",0,"TA","TA","PConc",0,0,637,"Ex",1108,0,1,"TA","TA",0,0,0,"GdPrv","Normal",11.8451027773086
"22","RL",9742,"Pave","Reg","Norm","Norm",8,5,"CompShg","BrkFace",281,"Gd","TA","PConc",0,0,1777,"Ex",1795,0,2,"TA","TA",171,0,0,"None","Normal",12.3458345879053
"23","RM",4224,"Pave","Reg","Norm","Norm",5,7,"CompShg","None",0,"TA","TA","PConc",840,0,200,"TA",1060,0,2,"TA","TA",100,0,0,"None","Normal",11.7745202026587
"24","RL",8246,"Pave","IR1","Norm","Norm",5,8,"CompShg","None",0,"TA","Gd","Others",188,668,204,"Ex",1060,0,1,"TA","TA",406,0,0,"MnPrv","Normal",11.9447078813958
"25","RL",14230,"Pave","Reg","Norm","Norm",8,5,"CompShg","Stone",640,"Gd","TA","PConc",0,0,1566,"Ex",1600,0,3,"TA","TA",0,0,0,"None","Normal",12.4541039123522
"26","RL",7200,"Pave","Reg","Norm","Norm",5,7,"CompShg","None",0,"TA","TA","Others",234,486,180,"TA",900,0,2,"TA","TA",222,0,0,"None","Normal",11.8115474774603
"27","RL",11478,"Pave","Reg","Norm","Norm",8,5,"CompShg","Stone",200,"Gd","TA","PConc",1218,0,486,"Ex",1704,0,3,"TA","TA",0,0,0,"None","Normal",12.6313403809345
"28","RL",16321,"Pave","IR1","Norm","Norm",5,6,"CompShg","None",0,"TA","TA","Others",1277,0,207,"TA",1600,0,1,"TA","TA",288,0,0,"None","Normal",12.2428866186529
"29","RM",6324,"Pave","IR1","RR","RR",4,6,"CompShg","None",0,"TA","TA","Others",0,0,520,"Fa",520,0,1,"Fa","TA",49,0,0,"None","Normal",11.1345890242503
"30","C (all)",8500,"Pave","Reg","Feedr","Norm",4,4,"CompShg","None",0,"TA","Fa","Others",0,0,649,"TA",649,668,1,"TA","Fa",0,0,0,"MnPrv","Normal",10.5966347330961
"31","RL",8544,"Pave","IR1","Norm","Norm",5,6,"CompShg","None",0,"TA","TA","Others",0,0,1228,"Gd",1228,0,1,"TA","TA",0,0,0,"MnPrv","Normal",11.9140478236443
"32","RL",11049,"Pave","Reg","Norm","Norm",8,5,"CompShg","None",0,"Gd","TA","PConc",0,0,1234,"Ex",1234,0,2,"TA","TA",0,0,0,"None","Normal",12.1001564199386
"33","RL",10552,"Pave","IR1","Norm","Norm",5,5,"CompShg","None",0,"TA","TA","Others",1018,0,380,"Gd",1700,0,2,"TA","TA",0,0,0,"None","Normal",12.0167264737993
